ticker,fiscal_quarter_end,earnings_date_actual,decision_date_T,source,provenance_caveat
FANG,2023-06-30,2023-07-31,2023-07-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2023-09-30,2023-11-06,2023-10-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2023-12-31,2024-02-20,2024-02-06,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2024-03-31,2024-04-30,2024-04-16,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2024-06-30,2024-08-05,2024-07-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2024-09-30,2024-11-04,2024-10-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2024-12-31,2025-02-24,2025-02-10,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2025-03-31,2025-05-05,2025-04-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2025-06-30,2025-08-04,2025-07-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2025-09-30,2025-11-03,2025-10-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2018-12-31,2019-02-26,2019-02-12,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2019-03-31,2019-05-01,2019-04-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2019-06-30,2019-07-31,2019-07-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2019-09-30,2019-10-29,2019-10-15,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2019-12-31,2020-02-25,2020-02-11,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2020-03-31,2020-04-29,2020-04-15,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2020-06-30,2020-07-28,2020-07-14,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2020-09-30,2020-10-27,2020-10-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2020-12-31,2021-02-23,2021-02-09,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2021-03-31,2021-04-28,2021-04-14,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2021-06-30,2021-07-27,2021-07-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2021-09-30,2021-10-26,2021-10-12,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2021-12-31,2022-02-22,2022-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2022-03-31,2022-04-26,2022-04-12,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2022-06-30,2022-07-26,2022-07-12,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
