ticker,date,adj_close,ret
DVN,2025-10-27,32.5494,-0.001213
DVN,2025-10-28,31.6400,-0.027938
DVN,2025-10-29,31.6795,0.001250
DVN,2025-10-30,31.6400,-0.001248
DVN,2025-10-31,32.1144,0.014995
DVN,2025-11-03,32.4406,0.010157
DVN,2025-11-04,32.1737,-0.008227
DVN,2025-11-05,31.9662,-0.006452
DVN,2025-11-06,32.0551,0.002783
DVN,2025-11-07,33.3105,0.039161
DVN,2025-11-10,33.5279,0.006528
DVN,2025-11-11,34.7536,0.036557
DVN,2025-11-12,34.8129,0.001706
DVN,2025-11-13,34.6350,-0.005111
DVN,2025-11-14,35.4257,0.022831
DVN,2025-11-17,34.6646,-0.021484
DVN,2025-11-18,35.4554,0.022812
DVN,2025-11-19,34.8722,-0.016448
DVN,2025-11-20,34.7536,-0.003401
DVN,2025-11-21,35.2379,0.013936
DVN,2025-11-24,35.5147,0.007854
DVN,2025-11-25,35.4059,-0.003062
DVN,2025-11-26,35.9792,0.016192
DVN,2025-11-28,36.6316,0.018132
DVN,2025-12-01,37.4224,0.021587
DVN,2025-12-02,36.8293,-0.015848
DVN,2025-12-03,37.2543,0.011541
DVN,2025-12-04,37.2741,0.000531
DVN,2025-12-05,37.0369,-0.006364
DVN,2025-12-08,37.1357,0.002669
DVN,2025-12-09,36.9677,-0.004525
DVN,2025-12-10,37.9660,0.027005
DVN,2025-12-11,37.1061,-0.022650
DVN,2025-12-12,37.0863,-0.000533
DVN,2025-12-15,35.9821,-0.029775
DVN,2025-12-16,34.9077,-0.029859
DVN,2025-12-17,36.7580,0.053007
DVN,2025-12-18,35.5344,-0.033288
DVN,2025-12-19,35.6538,0.003359
DVN,2025-12-22,36.2407,0.016462
DVN,2025-12-23,36.1512,-0.002470
DVN,2025-12-24,36.0119,-0.003852
DVN,2025-12-26,35.4847,-0.014641
DVN,2025-12-29,35.9920,0.014298
DVN,2025-12-30,36.6287,0.017689
DVN,2025-12-31,36.4397,-0.005160
CTRA,2024-12-16,23.7176,
CTRA,2024-12-17,23.5162,-0.008492
CTRA,2024-12-18,22.7681,-0.031811
CTRA,2024-12-19,22.7010,-0.002949
CTRA,2024-12-20,22.7106,0.000422
CTRA,2024-12-23,23.0750,0.016047
CTRA,2024-12-24,23.7176,0.027847
CTRA,2024-12-26,23.5738,-0.006066
CTRA,2024-12-27,23.6313,0.002441
CTRA,2024-12-30,24.4753,0.035714
CTRA,2024-12-31,24.4945,0.000784
CTRA,2025-01-02,25.0699,0.023492
CTRA,2025-01-03,25.1658,0.003826
CTRA,2025-01-06,25.1658,0.000000
CTRA,2025-01-07,25.2809,0.004573
CTRA,2025-01-08,26.0385,0.029970
CTRA,2025-01-10,26.6332,0.022836
CTRA,2025-01-13,27.4388,0.030248
CTRA,2025-01-14,27.6785,0.008738
CTRA,2025-01-15,27.8704,0.006930
CTRA,2025-01-16,28.6088,0.026497
CTRA,2025-01-17,28.2636,-0.012068
CTRA,2025-01-21,27.9567,-0.010859
CTRA,2025-01-22,27.9854,0.001029
CTRA,2025-01-23,28.0334,0.001713
CTRA,2025-01-24,27.8320,-0.007184
CTRA,2025-01-27,26.6907,-0.041006
CTRA,2025-01-28,26.7578,0.002515
CTRA,2025-01-29,27.0839,0.012186
CTRA,2025-01-30,27.2278,0.005312
CTRA,2025-01-31,26.5852,-0.023600
CTRA,2025-02-03,26.8921,0.011544
CTRA,2025-02-04,26.8825,-0.000357
CTRA,2025-02-05,26.9688,0.003211
CTRA,2025-02-06,26.2687,-0.025960
CTRA,2025-02-07,26.2591,-0.000365
CTRA,2025-02-10,27.3045,0.039810
CTRA,2025-02-11,27.3716,0.002459
CTRA,2025-02-12,26.4318,-0.034338
CTRA,2025-02-13,26.4605,0.001089
CTRA,2025-02-14,26.3934,-0.002537
CTRA,2025-02-18,26.7483,0.013445
CTRA,2025-02-19,27.5155,0.028684
CTRA,2025-02-20,27.6018,0.003137
CTRA,2025-02-21,26.9880,-0.022238
CTRA,2025-02-24,26.8346,-0.005686
CTRA,2025-02-25,26.2591,-0.021444
CTRA,2025-02-26,25.7700,-0.018627
CTRA,2025-02-27,25.3193,-0.017492
CTRA,2025-02-28,25.8851,0.022349
CTRA,2025-03-03,25.2042,-0.026306
CTRA,2025-03-04,25.3864,0.007230
CTRA,2025-03-05,25.0315,-0.013978
CTRA,2025-03-06,24.4657,-0.022605
CTRA,2025-03-07,25.0219,0.022736
CTRA,2025-03-10,25.6549,0.025297
CTRA,2025-03-11,25.7796,0.004860
CTRA,2025-03-12,26.1153,0.013021
CTRA,2025-03-13,25.8349,-0.010737
CTRA,2025-03-14,26.7147,0.034057
CTRA,2025-03-17,27.2272,0.019182
CTRA,2025-03-18,27.8170,0.021662
CTRA,2025-03-19,28.2617,0.015989
CTRA,2025-03-20,28.0490,-0.007526
CTRA,2025-03-21,27.7686,-0.009997
CTRA,2025-03-24,28.3874,0.022284
CTRA,2025-03-25,28.3391,-0.001703
CTRA,2025-03-26,27.9137,-0.015012
